what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577373936
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577373936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384577381436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384577402468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384577445728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384577476253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384577537633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384577540832
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577547713
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577547757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577562854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577580922
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577605236
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577605236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577631607
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1384577657581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577657597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384577663046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384577671678
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577679979
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577680022
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577686889
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577686890
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577689288
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577689329
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577709882
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577709883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384577714653
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577715710
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577715751
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577726699
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384577726699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577735610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577799212
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384577826536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577826911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577827151
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384577830723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577880888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384577983511
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384578009319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578017294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578021822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578021848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578021868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578058014
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1384578074892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578074903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578076133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578430017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384578459741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579078892
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579080772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579089004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579089209
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384579090887
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579099453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579104714
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1384579169708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579169725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579172019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579172024
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384579172866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579191672
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1384579200633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579200645
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579219899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579223293
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1384579224200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384579224201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579224211
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579225392
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579225409
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1384579234250
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1384579234296
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579234320
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1384579268150
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579268201
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1384579268201
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579269863
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1384579269956
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1384579269992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579270008
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1384579273285
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579273336
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1384579273336
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579274567
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1384579278528
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1384579278553
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579278562
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1384579285685
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579285738
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1384579285739
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579286971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579296133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579432148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579435099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1384579503054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579503064
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579504606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579506081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579506264
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384579507496
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579515243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579516878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579516891
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384579518042
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384579527886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579529400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1384579541930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579541944
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384579543221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579545075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579545081
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384579545936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579551820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384579554649
